##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
11111	75-79	0.5741051088872595
11111	80-84	0.6119115280477345
11111	85-89	0.8753727120923429
11111	90-94	0.7970136857292651
11111	95-99	0.7960038000166456
11111	100-104	1.157626825736525
11111	105-109	1.088502798154643
11111	110-114	0.6542772655340237
11111	115-119	0.7517739447532925
11111	120-124	0.9006056597767937
11111	125-129	0.7856588335999426
11111	130-134	0.9178287373232052
11111	135-139	0.9716544580009945
11111	140-144	0.849682763423953
11111	145-149	0.9327743437489424
11111	150-151	0.8286988070894736
11112	1	0.03331279746781135
11112	2	-0.04583427964824338
11112	3	0.051513994325979695
11112	4	-0.07930695538107457
11112	5	-0.014110549969085895
11112	6	0.015448410018692016
11112	7	0.1063323343476199
11112	8	0.1306914109451469
11112	9	0.09901832395692622
11112	10-14	0.06838822139748402
